,Player,ShortName,Height,Weight,Position,BirthPlace,SeasonURL,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2471,Bismack Biyombo,biyombi01,6-9,255lb,Center,Democratic Republic of the Congo,/players/b/biyombi01/gamelog/2019/,2018-19,26.0,CHO,NBA,C,5.0,0.0,10.4,1.2,2.0,0.6,0.0,0.0,,1.2,2.0,0.6,0.6,0.4,1.0,0.4,0.8,2.0,2.8,0.2,0.0,1.6,0.4,1.8,2.8
2476,Nemanja Bjelica,bjeline01,6-10,240lb,Power Forward,Serbia,/players/b/bjeline01/gamelog/2019/,2018-19,30.0,SAC,NBA,PF,11.0,11.0,25.8,5.0,9.4,0.534,1.9,3.7,0.512,3.1,5.6,0.5479999999999999,0.636,1.2,1.7,0.684,1.0,4.4,5.4,2.8,1.5,0.8,1.3,2.9,13.1
2560,Antonio Blakeney,blakean01,6-4,197lb,Shooting Guard,New York,/players/b/blakean01/gamelog/2019/,2018-19,22.0,CHI,NBA,SG,12.0,0.0,17.5,4.3,9.0,0.481,1.4,3.1,0.459,2.9,5.9,0.493,0.56,1.3,2.1,0.64,0.1,2.2,2.3,0.5,0.3,0.3,0.5,0.8,11.4
2606,Eric Bledsoe,bledser01,6-1,205lb,Point Guard,Alabama,/players/b/bledser01/gamelog/2019/,2018-19,29.0,MIL,NBA,PG,11.0,11.0,27.7,5.2,10.9,0.475,1.5,4.5,0.327,3.7,6.5,0.5770000000000001,0.542,2.1,2.6,0.7929999999999999,1.3,2.9,4.2,6.3,0.7,0.7,2.0,2.5,13.9
2713,Bogdan Bogdanovic,bogdabo01,6-6,205lb,Shooting Guard,Serbia,/players/b/bogdabo01/gamelog/2019/,2018-19,26.0,SAC,NBA,,1.0,0.0,18.0,3.0,7.0,0.429,1.0,3.0,0.333,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,7.0
2721,Bojan Bogdanovic,bogdabo02,6-8,216lb,Small Forward,Bosnia and Herzegovina,/players/b/bogdabo02/gamelog/2019/,2018-19,29.0,IND,NBA,SF,12.0,12.0,30.0,4.7,9.4,0.496,2.0,4.1,0.49,2.7,5.3,0.5,0.602,2.1,2.8,0.735,0.3,3.4,3.7,0.9,0.7,0.0,1.5,1.5,13.4
2825,Devin Booker,bookede01,6-6,206lb,Shooting Guard,Michigan,/players/b/bookede01/gamelog/2019/,2018-19,22.0,PHO,NBA,SG,8.0,8.0,35.9,9.0,19.9,0.453,2.8,8.4,0.328,6.3,11.5,0.5429999999999999,0.522,5.8,6.9,0.836,0.6,3.5,4.1,6.4,1.0,0.1,4.9,3.5,26.5
2961,Chris Boucher,bouchch01,6-10,182lb,Power Forward,Saint Lucia,/players/b/bouchch01/gamelog/2019/,2018-19,26.0,TOR,NBA,PF,1.0,0.0,2.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,4.0,6.0,0.667,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.0
3121,Avery Bradley,bradlav01,6-2,180lb,Point Guard and Shooting Guard,Washington,/players/b/bradlav01/gamelog/2019/,2018-19,28.0,LAC,NBA,SG,9.0,9.0,27.4,3.1,8.9,0.35,0.8,3.0,0.259,2.3,5.9,0.396,0.394,0.1,0.1,1.0,0.8,1.1,1.9,1.6,0.7,0.3,1.6,2.8,7.1
3488,Malcolm Brogdon,brogdma01,6-5,215lb,Shooting Guard and Point Guard,Georgia,/players/b/brogdma01/gamelog/2019/,2018-19,26.0,MIL,NBA,SG,11.0,11.0,29.4,5.1,10.1,0.505,1.5,3.4,0.4320000000000001,3.6,6.7,0.541,0.5770000000000001,1.5,1.5,1.0,0.7,3.0,3.7,3.4,0.5,0.2,1.5,2.0,13.1
3520,Dillon Brooks,brookdi01,6-6,220lb,Small Forward,Canada,/players/b/brookdi01/gamelog/2019/,2018-19,23.0,MEM,NBA,SF,10.0,0.0,20.0,2.6,6.2,0.419,0.7,1.9,0.368,1.9,4.3,0.442,0.476,1.4,1.8,0.778,0.5,1.4,1.9,1.0,0.8,0.4,0.8,2.8,7.3
3533,MarShon Brooks,brookma01,6-5,200lb,Shooting Guard,New Jersey,/players/b/brookma01/gamelog/2019/,2018-19,30.0,MEM,NBA,SG,9.0,0.0,13.0,2.7,5.6,0.48,0.7,2.1,0.316,2.0,3.4,0.581,0.54,1.1,1.4,0.769,0.6,1.0,1.6,0.8,0.4,0.0,0.7,1.1,7.1
3671,Jaylen Brown,brownja02,6-7,225lb,Shooting Guard and Small Forward,Georgia,/players/b/brownja02/gamelog/2019/,2018-19,22.0,BOS,NBA,SG,10.0,10.0,30.2,4.5,11.6,0.388,1.2,4.0,0.3,3.3,7.6,0.434,0.44,1.8,2.9,0.621,1.4,3.2,4.6,1.4,0.5,0.5,1.3,2.6,12.0
3721,Lorenzo Brown,brownlo01,6-5,189lb,Point Guard,Georgia,/players/b/brownlo01/gamelog/2019/,2018-19,28.0,TOR,NBA,PG,8.0,0.0,8.5,1.0,2.9,0.348,0.3,1.3,0.2,0.8,1.6,0.462,0.391,0.0,0.0,,0.1,1.0,1.1,1.0,0.4,0.3,0.6,1.0,2.3
3827,Sterling Brown,brownst02,6-5,225lb,Shooting Guard,Illinois,/players/b/brownst02/gamelog/2019/,2018-19,23.0,MIL,NBA,SG,7.0,0.0,5.9,0.7,1.9,0.385,0.0,0.7,0.0,0.7,1.1,0.625,0.385,0.7,0.9,0.833,0.4,1.0,1.4,0.3,0.0,0.1,0.6,0.7,2.1
3935,Thomas Bryant,bryanth01,6-10,248lb,Center,New York,/players/b/bryanth01/gamelog/2019/,2018-19,21.0,WAS,NBA,C,4.0,0.0,5.8,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.3,1.3,1.0,1.0,0.8,1.8,0.3,0.0,0.0,0.5,0.3,3.3
4041,Reggie Bullock,bullore01,6-7,205lb,Small Forward and Shooting Guard,Maryland,/players/b/bullore01/gamelog/2019/,2018-19,27.0,DET,NBA,SG,7.0,7.0,27.0,2.9,9.6,0.299,1.0,4.3,0.233,1.9,5.3,0.35100000000000003,0.35100000000000003,2.0,2.3,0.875,0.3,2.1,2.4,1.9,0.3,0.3,1.0,1.4,8.7
4076,Trey Burke,burketr01,6-1,191lb,Point Guard,Ohio,/players/b/burketr01/gamelog/2019/,2018-19,26.0,NYK,NBA,PG,11.0,5.0,20.1,3.9,9.6,0.406,0.9,2.6,0.345,3.0,7.0,0.429,0.453,0.8,1.2,0.6920000000000001,0.8,1.3,2.1,3.4,0.5,0.0,1.2,1.0,9.5
4087,Alec Burks,burksal01,6-6,214lb,Shooting Guard,Missouri,/players/b/burksal01/gamelog/2019/,2018-19,27.0,UTA,NBA,SG,7.0,0.0,13.9,3.0,6.0,0.5,1.4,2.3,0.625,1.6,3.7,0.423,0.619,2.6,2.7,0.947,0.0,1.0,1.0,1.1,0.3,0.4,0.4,1.0,10.0
4217,Jimmy Butler,butleji01,6-8,236lb,Small Forward and Shooting Guard,Texas,/players/b/butleji01/gamelog/2019/,2018-19,29.0,MIN,NBA,SG,9.0,9.0,35.6,7.9,16.1,0.49,1.9,4.8,0.395,6.0,11.3,0.529,0.5479999999999999,4.6,5.7,0.804,1.6,3.3,4.9,3.9,2.4,1.1,1.2,1.9,22.2
4373,Jose Calderon,caldejo01,6-3,200lb,Point Guard and Shooting Guard,Spain,/players/c/caldejo01/gamelog/2019/,2018-19,37.0,DET,NBA,PG,7.0,0.0,11.1,0.7,2.4,0.294,0.4,1.6,0.273,0.3,0.9,0.333,0.382,0.3,0.3,1.0,0.4,0.6,1.0,0.9,0.7,0.1,0.4,1.3,2.1
4410,Kentavious Caldwell-Pope,caldwke01,6-5,205lb,Shooting Guard,Georgia,/players/c/caldwke01/gamelog/2019/,2018-19,25.0,LAL,NBA,SG,11.0,3.0,18.9,1.9,5.0,0.382,0.5,2.4,0.231,1.4,2.6,0.517,0.436,1.2,1.3,0.929,0.1,1.6,1.7,0.3,0.5,0.1,0.6,0.6,5.5
4527,Isaiah Canaan,canaais01,6-0,201lb,Shooting Guard and Point Guard,Mississippi,/players/c/canaais01/gamelog/2019/,2018-19,27.0,PHO,NBA,PG,10.0,10.0,29.4,3.5,8.3,0.422,1.4,4.3,0.326,2.1,4.0,0.525,0.506,1.3,1.6,0.813,0.3,2.9,3.2,3.3,0.7,0.0,1.9,2.9,9.7
4542,Clint Capela,capelca01,6-10,240lb,Center,Switzerland,/players/c/capelca01/gamelog/2019/,2018-19,24.0,HOU,NBA,C,10.0,10.0,33.7,6.9,11.3,0.611,0.0,0.0,,6.9,11.3,0.611,0.611,1.9,3.6,0.528,4.1,6.8,10.9,2.0,0.5,1.7,2.1,2.7,15.7
4824,Vince Carter,cartevi01,6-6,220lb,Shooting Guard and Small Forward,Florida,/players/c/cartevi01/gamelog/2019/,2018-19,42.0,ATL,NBA,SF,11.0,8.0,19.8,2.5,5.9,0.431,1.5,3.8,0.405,1.0,2.1,0.478,0.562,0.8,1.0,0.818,0.3,1.9,2.2,1.0,0.8,0.5,0.8,1.7,7.5
4833,Michael Carter-Williams,cartemi01,6-6,190lb,Point Guard,Massachusetts,/players/c/cartemi01/gamelog/2019/,2018-19,27.0,HOU,NBA,PG,7.0,1.0,13.9,1.9,5.1,0.361,0.3,1.4,0.2,1.6,3.7,0.423,0.389,1.0,2.3,0.438,0.3,1.1,1.4,2.0,1.0,0.6,1.1,2.4,5.0
4894,Omri Casspi,casspom01,6-9,225lb,Small Forward and Power Forward,Israel,/players/c/casspom01/gamelog/2019/,2018-19,30.0,MEM,NBA,SF,7.0,0.0,12.0,2.0,3.6,0.56,0.4,1.1,0.375,1.6,2.4,0.647,0.62,1.1,2.1,0.5329999999999999,0.4,2.0,2.4,1.4,0.6,0.0,0.3,0.7,5.6
4940,Willie Cauley-Stein,caulewi01,7-0,240lb,Center,Kansas,/players/c/caulewi01/gamelog/2019/,2018-19,25.0,SAC,NBA,C,11.0,11.0,29.0,7.1,12.2,0.5820000000000001,0.0,0.0,,7.1,12.2,0.5820000000000001,0.5820000000000001,2.3,4.3,0.532,2.3,5.9,8.2,2.4,1.2,0.5,1.3,2.8,16.5
5063,Tyson Chandler,chandty01,7-1,240lb,Power Forward and Center,California,/players/c/chandty01/gamelog/2019/,2018-19,36.0,TOT,NBA,C,8.0,0.0,14.0,1.1,2.0,0.563,0.0,0.0,,1.1,2.0,0.563,0.563,1.3,2.3,0.556,1.4,4.5,5.9,0.8,0.3,0.1,1.0,3.0,3.5
5064,Tyson Chandler,chandty01,7-1,240lb,Power Forward and Center,California,/players/c/chandty01/gamelog/2019/,2018-19,36.0,PHO,NBA,C,7.0,0.0,12.7,1.1,1.7,0.667,0.0,0.0,,1.1,1.7,0.667,0.667,1.4,2.6,0.556,1.0,4.6,5.6,0.9,0.3,0.1,1.0,3.0,3.7
5065,Tyson Chandler,chandty01,7-1,240lb,Power Forward and Center,California,/players/c/chandty01/gamelog/2019/,2018-19,36.0,LAL,NBA,,1.0,0.0,23.0,1.0,4.0,0.25,0.0,0.0,,1.0,4.0,0.25,0.25,0.0,0.0,,4.0,4.0,8.0,0.0,0.0,0.0,1.0,3.0,2.0
5079,Wilson Chandler,chandwi01,6-8,225lb,Small Forward and Power Forward and Shooting Guard,Michigan,/players/c/chandwi01/gamelog/2019/,2018-19,31.0,PHI,NBA,SF,2.0,0.0,12.5,0.5,1.5,0.333,0.0,1.0,0.0,0.5,0.5,1.0,0.333,0.0,0.0,,1.0,3.5,4.5,0.5,0.5,0.0,0.5,2.5,1.0
5259,Marquese Chriss,chrisma01,6-10,233lb,Power Forward,California,/players/c/chrisma01/gamelog/2019/,2018-19,21.0,HOU,NBA,PF,3.0,0.0,5.7,1.0,3.3,0.3,0.0,1.3,0.0,1.0,2.0,0.5,0.3,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.3,0.3,0.3,2.0
5354,Ian Clark,clarkia01,6-3,175lb,Shooting Guard,Tennessee,/players/c/clarkia01/gamelog/2019/,2018-19,27.0,NOP,NBA,SG,10.0,0.0,16.3,2.0,4.6,0.435,0.9,2.1,0.429,1.1,2.5,0.44,0.5329999999999999,0.5,0.6,0.833,0.1,1.1,1.2,1.1,0.3,0.1,0.8,2.2,5.4
5376,Jordan Clarkson,clarkjo01,6-5,194lb,Shooting Guard and Point Guard,Florida,/players/c/clarkjo01/gamelog/2019/,2018-19,26.0,CLE,NBA,SG,11.0,0.0,23.6,6.3,13.3,0.473,1.3,4.4,0.292,5.0,8.9,0.561,0.521,1.4,1.5,0.882,1.0,1.9,2.9,1.5,0.8,0.3,1.3,1.8,15.2
5614,Zach Collins,colliza01,7-0,232lb,Center,Nevada,/players/c/colliza01/gamelog/2019/,2018-19,21.0,POR,NBA,C,12.0,0.0,21.5,3.7,6.4,0.5710000000000001,0.8,2.1,0.4,2.8,4.3,0.654,0.636,2.4,2.8,0.853,1.2,3.1,4.3,1.0,0.3,1.3,1.6,3.2,10.6
5627,Darren Collison,collida01,6-0,175lb,Point Guard,California,/players/c/collida01/gamelog/2019/,2018-19,31.0,IND,NBA,PG,12.0,12.0,26.2,3.5,7.7,0.457,0.5,1.8,0.28600000000000003,3.0,5.9,0.507,0.489,1.2,1.6,0.737,0.3,1.7,2.0,4.1,1.4,0.0,1.4,1.8,8.7
5714,Mike Conley,conlemi01,6-1,175lb,Point Guard,Arkansas,/players/c/conlemi01/gamelog/2019/,2018-19,31.0,MEM,NBA,PG,10.0,10.0,31.5,5.3,14.8,0.358,1.6,5.7,0.281,3.7,9.1,0.407,0.412,4.5,5.4,0.833,0.7,2.5,3.2,6.0,1.2,0.2,1.7,2.2,16.7
5741,Pat Connaughton,connapa01,6-5,206lb,Shooting Guard,Massachusetts,/players/c/connapa01/gamelog/2019/,2018-19,26.0,MIL,NBA,SG,8.0,0.0,13.9,2.8,5.8,0.478,1.1,2.8,0.409,1.6,3.0,0.542,0.5760000000000001,0.5,0.9,0.5710000000000001,1.1,3.3,4.4,0.8,0.1,0.4,0.5,1.1,7.1
5841,Quinn Cook,cookqu01,6-2,184lb,Point Guard,District of Columbia,/players/c/cookqu01/gamelog/2019/,2018-19,25.0,GSW,NBA,PG,9.0,0.0,12.2,2.4,5.0,0.489,1.2,2.4,0.5,1.2,2.6,0.478,0.611,0.8,0.9,0.875,0.2,1.4,1.7,1.2,0.2,0.0,1.1,0.8,6.9
6055,Robert Covington,covinro01,6-9,215lb,Small Forward,Illinois,/players/c/covinro01/gamelog/2019/,2018-19,28.0,PHI,NBA,SF,12.0,12.0,34.2,4.0,9.1,0.44,2.4,5.8,0.414,1.6,3.3,0.487,0.573,1.3,1.8,0.7140000000000001,0.5,4.8,5.3,1.1,2.0,1.6,1.8,3.3,11.7
6081,Allen Crabbe,crabbal01,6-6,210lb,Shooting Guard,California,/players/c/crabbal01/gamelog/2019/,2018-19,26.0,BRK,NBA,SG,10.0,0.0,22.8,2.1,8.2,0.256,1.4,5.1,0.275,0.7,3.1,0.226,0.341,1.2,1.6,0.75,0.5,3.5,4.0,1.3,0.3,0.5,1.2,2.6,6.8
6084,Torrey Craig,craigto01,6-6,215lb,Small Forward,South Carolina,/players/c/craigto01/gamelog/2019/,2018-19,28.0,DEN,NBA,SF,10.0,9.0,18.5,1.7,4.2,0.405,0.3,2.1,0.14300000000000002,1.4,2.1,0.667,0.44,0.4,0.6,0.667,1.5,1.9,3.4,0.5,0.6,0.4,0.7,2.1,4.1
6124,Jamal Crawford,crawfja01,6-5,200lb,Shooting Guard and Point Guard,Washington,/players/c/crawfja01/gamelog/2019/,2018-19,38.0,PHO,NBA,SG,9.0,0.0,8.9,0.9,2.9,0.308,0.6,1.7,0.333,0.3,1.2,0.273,0.404,1.0,1.1,0.9,0.0,0.4,0.4,1.0,0.2,0.0,0.4,0.6,3.3
6257,Jae Crowder,crowdja01,6-6,235lb,Small Forward,Georgia,/players/c/crowdja01/gamelog/2019/,2018-19,28.0,UTA,NBA,SF,11.0,1.0,30.2,4.6,10.4,0.447,2.1,6.2,0.338,2.5,4.2,0.609,0.5479999999999999,2.8,4.0,0.705,1.0,4.5,5.5,1.5,0.7,0.4,0.6,2.8,14.2
6325,Dante Cunningham,cunnida01,6-8,230lb,Power Forward and Small Forward,Maryland,/players/c/cunnida01/gamelog/2019/,2018-19,31.0,SAS,NBA,PF,10.0,7.0,21.8,1.3,3.4,0.382,0.5,1.4,0.35700000000000004,0.8,2.0,0.4,0.456,0.6,0.6,1.0,1.1,3.1,4.2,1.3,0.6,0.6,0.4,1.9,3.7
6434,Seth Curry,curryse01,6-2,185lb,Point Guard and Shooting Guard,North Carolina,/players/c/curryse01/gamelog/2019/,2018-19,28.0,POR,NBA,SG,12.0,0.0,17.6,1.8,4.7,0.375,1.1,2.3,0.464,0.7,2.3,0.28600000000000003,0.491,0.3,0.3,1.0,0.2,1.3,1.5,0.8,0.2,0.1,0.5,1.5,4.8
6445,Stephen Curry,curryst01,6-3,190lb,Point Guard,Ohio,/players/c/curryst01/gamelog/2019/,2018-19,30.0,GSW,NBA,PG,12.0,12.0,33.3,10.2,19.8,0.515,5.2,10.5,0.4920000000000001,5.0,9.3,0.541,0.6459999999999999,4.0,4.3,0.923,0.5,4.5,5.0,6.1,1.0,0.3,3.0,2.3,29.5
6592,Troy Daniels,danietr01,6-4,205lb,Shooting Guard,Virginia,/players/d/danietr01/gamelog/2019/,2018-19,27.0,PHO,NBA,SG,4.0,0.0,9.3,1.3,3.8,0.333,0.8,2.8,0.273,0.5,1.0,0.5,0.433,0.3,0.3,1.0,0.3,0.8,1.0,1.0,1.0,0.0,0.8,1.5,3.5
6688,Anthony Davis,davisan02,6-10,253lb,Center and Power Forward,Illinois,/players/d/davisan02/gamelog/2019/,2018-19,25.0,NOP,NBA,C,8.0,8.0,37.5,8.6,18.3,0.473,0.9,2.3,0.389,7.8,16.0,0.484,0.4970000000000001,6.3,8.8,0.7140000000000001,3.0,9.0,12.0,4.6,1.6,3.3,2.5,2.9,24.4
6816,Ed Davis,davised01,6-10,240lb,Power Forward and Center,District of Columbia,/players/d/davised01/gamelog/2019/,2018-19,29.0,BRK,NBA,C,11.0,0.0,17.5,2.6,4.3,0.617,0.0,0.0,,2.6,4.3,0.617,0.617,1.0,1.9,0.524,3.0,5.1,8.1,0.8,0.5,0.4,0.8,2.8,6.3
7133,Dewayne Dedmon,dedmode01,7-0,245lb,Center,California,/players/d/dedmode01/gamelog/2019/,2018-19,29.0,ATL,NBA,C,8.0,0.0,18.8,3.3,6.5,0.5,0.5,1.5,0.333,2.8,5.0,0.55,0.5379999999999999,0.8,1.0,0.75,1.0,4.9,5.9,0.5,0.3,1.8,0.6,3.3,7.8
7160,Sam Dekker,dekkesa01,6-9,230lb,Power Forward,Wisconsin,/players/d/dekkesa01/gamelog/2019/,2018-19,24.0,CLE,NBA,PF,9.0,5.0,18.8,2.4,5.3,0.458,0.6,1.4,0.385,1.9,3.9,0.486,0.51,0.9,1.1,0.8,1.0,2.7,3.7,1.0,1.2,0.0,0.6,1.4,6.3
7220,Matthew Dellavedova,dellama01,6-4,198lb,Shooting Guard and Point Guard,Australia,/players/d/dellama01/gamelog/2019/,2018-19,28.0,MIL,NBA,PG,6.0,0.0,6.5,0.5,1.7,0.3,0.5,1.2,0.429,0.0,0.5,0.0,0.45,0.3,0.3,1.0,0.0,1.0,1.0,2.0,0.2,0.0,0.8,0.5,1.8
7258,Luol Deng,denglu01,6-9,220lb,Small Forward and Power Forward,South Sudan,/players/d/denglu01/gamelog/2019/,2018-19,33.0,MIN,NBA,SF,2.0,0.0,9.5,1.0,4.5,0.222,0.0,2.0,0.0,1.0,2.5,0.4,0.222,0.5,1.0,0.5,2.5,2.5,5.0,0.0,0.0,0.5,0.5,0.0,2.5
7298,DeMar DeRozan,derozde01,6-7,221lb,Shooting Guard,California,/players/d/derozde01/gamelog/2019/,2018-19,29.0,SAS,NBA,SG,10.0,10.0,36.9,10.2,20.1,0.507,0.5,2.0,0.25,9.7,18.1,0.536,0.52,5.5,6.1,0.902,0.8,5.6,6.4,6.8,1.3,0.3,2.4,2.9,26.4
7317,Cheick Diallo,diallch01,6-9,220lb,Power Forward,Mali,/players/d/diallch01/gamelog/2019/,2018-19,22.0,NOP,NBA,PF,8.0,0.0,8.5,1.5,2.6,0.5710000000000001,0.0,0.0,,1.5,2.6,0.5710000000000001,0.5710000000000001,1.4,1.8,0.7859999999999999,0.9,2.6,3.5,0.5,0.4,0.5,0.5,1.0,4.4
7396,Gorgui Dieng,dienggo01,6-11,241lb,Center and Power Forward,Senegal,/players/d/dienggo01/gamelog/2019/,2018-19,29.0,MIN,NBA,C,12.0,0.0,14.1,2.3,4.9,0.475,0.2,1.0,0.16699999999999998,2.2,3.9,0.5529999999999999,0.4920000000000001,1.8,2.0,0.875,1.3,3.6,4.9,0.8,0.5,0.4,0.8,2.0,6.6
7463,Spencer Dinwiddie,dinwisp01,6-6,200lb,Point Guard,California,/players/d/dinwisp01/gamelog/2019/,2018-19,25.0,BRK,NBA,PG,11.0,0.0,27.3,5.2,10.7,0.483,2.3,5.3,0.431,2.9,5.5,0.5329999999999999,0.589,1.5,1.9,0.762,0.4,2.0,2.4,3.9,0.5,0.5,2.0,3.1,14.1
7617,Tyler Dorsey,dorsety01,6-5,183lb,Shooting Guard,California,/players/d/dorsety01/gamelog/2019/,2018-19,22.0,ATL,NBA,SG,6.0,0.0,9.8,1.7,4.0,0.417,0.3,1.2,0.28600000000000003,1.3,2.8,0.471,0.458,0.3,0.7,0.5,0.0,1.0,1.0,0.7,0.2,0.0,0.0,1.0,4.0
7620,Damyean Dotson,dotsoda01,6-6,205lb,Shooting Guard,Texas,/players/d/dotsoda01/gamelog/2019/,2018-19,24.0,NYK,NBA,SG,10.0,7.0,30.4,4.9,10.7,0.458,1.8,5.1,0.353,3.1,5.6,0.5539999999999999,0.542,0.6,0.9,0.667,0.9,4.8,5.7,1.2,0.8,0.1,0.7,2.0,12.2
7715,Goran Dragic,dragigo01,6-3,190lb,Shooting Guard and Point Guard,Slovenia,/players/d/dragigo01/gamelog/2019/,2018-19,32.0,MIA,NBA,PG,8.0,8.0,32.0,6.3,15.1,0.413,2.3,6.4,0.353,4.0,8.8,0.457,0.488,3.4,4.1,0.818,0.9,3.0,3.9,5.1,0.4,0.4,2.4,2.4,18.1
7810,Andre Drummond,drumman01,6-11,279lb,Center,New York,/players/d/drumman01/gamelog/2019/,2018-19,25.0,DET,NBA,C,10.0,10.0,32.6,8.0,15.7,0.51,0.2,1.0,0.2,7.8,14.7,0.531,0.516,2.7,4.8,0.563,6.0,10.6,16.6,1.4,1.0,1.3,2.9,3.7,18.9
7867,Jared Dudley,dudleja01,6-7,225lb,Power Forward and Small Forward and Shooting Guard,California,/players/d/dudleja01/gamelog/2019/,2018-19,33.0,BRK,NBA,PF,11.0,11.0,24.8,1.9,5.1,0.375,1.1,3.6,0.3,0.8,1.5,0.563,0.482,0.6,0.7,0.875,0.8,2.2,3.0,2.3,0.8,0.2,0.8,2.9,5.5
7996,Kris Dunn,dunnkr01,6-4,205lb,Point Guard,Connecticut,/players/d/dunnkr01/gamelog/2019/,2018-19,24.0,CHI,NBA,PG,1.0,1.0,30.0,4.0,13.0,0.308,1.0,4.0,0.25,3.0,9.0,0.333,0.34600000000000003,0.0,0.0,,0.0,4.0,4.0,7.0,0.0,0.0,4.0,6.0,9.0
8035,Kevin Durant,duranke01,6-9,240lb,Small Forward and Power Forward and Shooting Guard,District of Columbia,/players/d/duranke01/gamelog/2019/,2018-19,30.0,GSW,NBA,PF,12.0,12.0,34.7,9.9,17.9,0.5529999999999999,1.5,3.8,0.391,8.4,14.1,0.598,0.595,5.5,6.0,0.917,0.2,7.2,7.3,6.2,0.8,0.7,2.8,1.4,26.8
8336,Henry Ellenson,ellenhe01,6-11,245lb,Power Forward,Wisconsin,/players/e/ellenhe01/gamelog/2019/,2018-19,22.0,DET,NBA,PF,1.0,0.0,8.0,2.0,5.0,0.4,1.0,2.0,0.5,1.0,3.0,0.333,0.5,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0
8349,Wayne Ellington,ellinwa01,6-4,200lb,Shooting Guard,Pennsylvania,/players/e/ellinwa01/gamelog/2019/,2018-19,31.0,MIA,NBA,SG,3.0,1.0,16.3,3.0,6.3,0.474,2.3,5.0,0.467,0.7,1.3,0.5,0.6579999999999999,0.0,0.0,,0.0,2.0,2.0,0.7,0.7,0.0,0.7,0.7,8.3
8512,Joel Embiid,embiijo01,7-0,250lb,Center,Cameroon,/players/e/embiijo01/gamelog/2019/,2018-19,24.0,PHI,NBA,C,12.0,12.0,34.3,9.3,19.3,0.485,1.3,4.3,0.294,8.1,15.0,0.539,0.517,7.8,9.6,0.809,2.2,10.3,12.4,3.4,0.3,2.3,2.9,3.6,27.7
8591,James Ennis,ennisja01,6-7,210lb,Small Forward,California,/players/e/ennisja01/gamelog/2019/,2018-19,28.0,HOU,NBA,SF,7.0,7.0,22.6,2.9,6.3,0.455,1.9,3.9,0.481,1.0,2.4,0.412,0.602,0.4,0.7,0.6,1.4,0.9,2.3,0.7,0.9,0.3,0.7,3.6,8.0
8731,Tyreke Evans,evansty01,6-6,220lb,Shooting Guard and Point Guard and Small Forward,Pennsylvania,/players/e/evansty01/gamelog/2019/,2018-19,29.0,IND,NBA,SG,11.0,0.0,19.8,4.1,9.8,0.417,1.4,3.3,0.417,2.7,6.5,0.417,0.486,1.4,2.2,0.625,0.3,2.1,2.4,2.6,0.9,0.5,1.5,1.6,10.9
8759,Dante Exum,exumda01,6-6,190lb,Point Guard,Australia,/players/e/exumda01/gamelog/2019/,2018-19,23.0,UTA,NBA,PG,11.0,0.0,17.8,2.7,6.5,0.423,0.6,2.1,0.304,2.1,4.4,0.479,0.472,2.5,3.3,0.778,0.5,1.4,1.8,2.3,0.2,0.3,0.9,2.0,8.6
8801,Kenneth Faried,farieke01,6-8,228lb,Power Forward,New Jersey,/players/f/farieke01/gamelog/2019/,2018-19,29.0,BRK,NBA,PF,4.0,0.0,4.5,1.3,1.5,0.833,0.0,0.0,,1.3,1.5,0.833,0.833,0.0,0.0,,0.8,1.3,2.0,0.0,0.3,0.0,0.5,0.0,2.5
8856,Derrick Favors,favorde01,6-10,265lb,Center and Power Forward,Georgia,/players/f/favorde01/gamelog/2019/,2018-19,27.0,UTA,NBA,C,10.0,10.0,22.4,4.4,8.4,0.524,0.3,1.3,0.231,4.1,7.1,0.5770000000000001,0.542,2.0,3.1,0.645,3.5,3.7,7.2,0.5,0.8,1.5,1.3,2.8,11.1
8900,Cristiano Felicio,feliccr01,6-10,275lb,Center,Brazil,/players/f/feliccr01/gamelog/2019/,2018-19,26.0,CHI,NBA,C,9.0,0.0,18.7,2.0,3.3,0.6,0.0,0.0,,2.0,3.3,0.6,0.6,1.0,1.4,0.6920000000000001,1.3,4.2,5.6,0.9,0.2,0.2,0.9,1.7,5.0
8933,Raymond Felton,feltora01,6-1,205lb,Point Guard and Shooting Guard,South Carolina,/players/f/feltora01/gamelog/2019/,2018-19,34.0,OKC,NBA,PG,5.0,0.0,12.4,2.8,7.0,0.4,0.0,2.4,0.0,2.8,4.6,0.609,0.4,1.2,1.4,0.857,0.2,1.4,1.6,1.4,0.8,0.4,0.8,0.8,6.8
