,Player,ShortName,Height,Weight,Position,BirthPlace,SeasonURL,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
30220,T.J. Warren,warretj01,6-8,230lb,Small Forward,North Carolina,/players/w/warretj01/gamelog/2019/,2018-19,25.0,PHO,NBA,SF,10.0,3.0,25.2,5.6,11.7,0.479,1.5,3.0,0.5,4.1,8.7,0.471,0.5429999999999999,2.4,2.7,0.889,0.9,3.0,3.9,1.3,0.6,0.6,1.2,2.1,15.1
30736,Russell Westbrook,westbru01,6-3,200lb,Point Guard,California,/players/w/westbru01/gamelog/2019/,2018-19,30.0,OKC,NBA,PG,7.0,7.0,31.4,9.6,19.6,0.489,0.3,2.9,0.1,9.3,16.7,0.556,0.496,4.7,7.4,0.635,1.0,7.3,8.3,8.9,2.1,0.1,4.1,3.0,24.1
30799,Derrick White,whitede01,6-5,190lb,Point Guard,Colorado,/players/w/whitede01/gamelog/2019/,2018-19,24.0,SAS,NBA,,1.0,1.0,16.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0
30916,Hassan Whiteside,whiteha01,7-0,265lb,Center,North Carolina,/players/w/whiteha01/gamelog/2019/,2018-19,29.0,MIA,NBA,C,9.0,9.0,28.3,5.3,10.7,0.5,0.1,0.7,0.16699999999999998,5.2,10.0,0.522,0.505,3.4,5.7,0.608,3.8,11.4,15.2,0.3,0.3,3.4,1.8,2.7,14.2
30967,Andrew Wiggins,wiggian01,6-8,199lb,Small Forward,Canada,/players/w/wiggian01/gamelog/2019/,2018-19,23.0,MIN,NBA,SF,9.0,9.0,32.2,6.3,15.2,0.416,2.1,5.3,0.396,4.2,9.9,0.4270000000000001,0.485,2.2,2.8,0.8,0.4,3.2,3.7,1.9,1.8,0.6,1.4,2.7,17.0
31241,C.J. Williams,willicj01,6-5,225lb,Shooting Guard,North Carolina,/players/w/willicj01/gamelog/2019/,2018-19,28.0,MIN,NBA,SG,4.0,0.0,10.5,0.8,2.5,0.3,0.0,1.3,0.0,0.8,1.3,0.6,0.3,0.0,0.0,,0.0,0.3,0.3,0.8,0.0,0.0,0.5,1.8,1.5
31510,Lou Williams,willilo02,6-1,175lb,Point Guard and Shooting Guard,Tennessee,/players/w/willilo02/gamelog/2019/,2018-19,32.0,LAC,NBA,SG,11.0,0.0,25.2,6.2,14.3,0.433,1.6,4.3,0.383,4.5,10.0,0.455,0.49,5.2,5.5,0.934,0.5,1.6,2.1,3.5,0.5,0.2,2.5,1.0,19.2
31535,Marvin Williams,willima02,6-9,237lb,Small Forward and Power Forward,Washington,/players/w/willima02/gamelog/2019/,2018-19,32.0,CHO,NBA,PF,11.0,11.0,23.3,3.1,7.6,0.405,1.0,4.1,0.244,2.1,3.5,0.59,0.47,0.5,0.9,0.6,0.7,4.1,4.8,0.9,0.5,1.2,0.6,1.5,7.7
31759,Troy Williams,willitr02,6-7,218lb,Small Forward,Virginia,/players/w/willitr02/gamelog/2019/,2018-19,24.0,SAC,NBA,SF,4.0,0.0,19.0,3.0,4.5,0.667,1.5,2.3,0.667,1.5,2.3,0.667,0.833,0.8,1.0,0.75,0.3,2.8,3.0,1.0,0.5,0.5,0.0,2.8,8.3
31975,Justise Winslow,winslju01,6-7,225lb,Small Forward and Power Forward,Texas,/players/w/winslju01/gamelog/2019/,2018-19,22.0,MIA,NBA,PF,6.0,3.0,29.2,3.8,10.3,0.371,0.8,2.8,0.294,3.0,7.5,0.4,0.411,2.2,3.3,0.65,1.7,4.0,5.7,4.0,1.7,0.7,2.2,2.8,10.7
32086,Christian Wood,woodch01,6-11,220lb,Power Forward,California,/players/w/woodch01/gamelog/2019/,2018-19,23.0,MIL,NBA,PF,3.0,0.0,5.0,0.3,1.3,0.25,0.3,0.7,0.5,0.0,0.7,0.0,0.375,1.0,1.3,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.7,2.0
32273,Delon Wright,wrighde01,6-5,183lb,Point Guard,California,/players/w/wrighde01/gamelog/2019/,2018-19,26.0,TOR,NBA,PG,7.0,0.0,13.9,1.7,4.4,0.387,0.3,1.3,0.222,1.4,3.1,0.455,0.419,1.3,1.3,1.0,0.4,1.1,1.6,0.7,0.3,0.1,0.1,1.0,5.0
32362,Guerschon Yabusele,yabusgu01,6-7,260lb,Power Forward,France,/players/y/yabusgu01/gamelog/2019/,2018-19,23.0,BOS,NBA,PF,6.0,0.0,3.8,0.3,1.2,0.28600000000000003,0.0,0.5,0.0,0.3,0.7,0.5,0.28600000000000003,0.0,0.0,,0.5,0.7,1.2,0.2,0.0,0.2,0.2,0.3,0.7
32450,Thaddeus Young,youngth01,6-8,221lb,Power Forward,Louisiana,/players/y/youngth01/gamelog/2019/,2018-19,30.0,IND,NBA,PF,12.0,12.0,29.6,4.3,9.0,0.481,0.3,1.3,0.2,4.1,7.8,0.527,0.495,0.7,1.4,0.471,1.9,3.9,5.8,1.5,1.4,0.5,1.2,2.1,9.6
32479,Cody Zeller,zelleco01,7-0,240lb,Center,Indiana,/players/z/zelleco01/gamelog/2019/,2018-19,26.0,CHO,NBA,C,11.0,11.0,22.6,3.4,5.7,0.5870000000000001,0.1,0.3,0.333,3.3,5.5,0.6,0.595,1.5,1.6,0.944,1.9,3.9,5.8,1.7,0.5,0.6,1.4,2.9,8.4
32529,Ante Zizic,zizican01,6-11,250lb,Center,Croatia,/players/z/zizican01/gamelog/2019/,2018-19,22.0,CLE,NBA,C,9.0,0.0,7.2,1.3,2.3,0.5710000000000001,0.0,0.0,,1.3,2.3,0.5710000000000001,0.5710000000000001,1.3,1.8,0.75,1.0,1.7,2.7,0.4,0.1,0.0,0.7,1.1,4.0
32537,Ivica Zubac,zubaciv01,7-1,265lb,Center,Bosnia and Herzegovina,/players/z/zubaciv01/gamelog/2019/,2018-19,21.0,LAL,NBA,C,4.0,0.0,9.5,1.3,2.5,0.5,0.0,0.0,,1.3,2.5,0.5,0.5,1.0,1.0,1.0,2.0,2.3,4.3,0.5,0.3,0.3,0.8,3.0,3.5
